MBTI,original_sentence,masked_sentence,
ENFJ,새로운 팀원을 잘 챙겨줬더니 고맙다고 하더라. 이런 배려가 팀워크를 더 단단하게 만들어.,새로운 팀원을 잘 챙겨줬더니 고맙다고 하더라. 이런 배려가 팀워크를 더 [MASK]게 만들어.,
ENFJ,친구랑 오랜만에 만나서 속 깊은 얘기를 나눴어. 이런 대화가 진짜 힐링이야.,친구랑 오랜만에 만나서 속 깊은 얘기를 나눴어. 이런 대화가 진짜 [MASK]야.,
ENFJ,모임에서 다들 의견 내도록 유도했어. 이런 소통이 진짜 중요하더라.,모임에서 다들 의견 내도록 유도했어. 이런 소통이 진짜 [MASK]더라.,
ENFP,어제 갑자기 친구랑 드라이브 갔어. 이런 즉흥적인 게 진짜 즐겁더라.,어제 갑자기 친구랑 드라이브 갔어. 이런 즉흥적인 게 진짜 [MASK]더라.,
ENFP,오늘 새로운 카페를 발견했어. 이런 작은 발견이 기분을 좋게 만들어.,오늘 새로운 카페를 발견했어. 이런 작은 발견이 기분을 [MASK]게 만들어.,
ENFP,친구랑 갑자기 영화 한 편 보고 왔어. 이런 예상치 못한 하루가 진짜 재밌더라.,친구랑 갑자기 영화 한 편 보고 왔어. 이런 예상치 못한 하루가 진짜 [MASK]더라.,
ENFP,산책하다가 예쁜 꽃을 발견했어. 이런 순간들이 삶을 더 특별하게 해줘.,산책하다가 예쁜 꽃을 발견했어. 이런 순간들이 삶을 더 [MASK]게 해줘.,
ENTJ,빠르게 문제를 정리하고 대안을 제시했어. 이런 능률이 성과를 높여줘.,빠르게 문제를 정리하고 대안을 제시했어. 이런 능률이 성과를 [MASK]줘.,
ENTJ,프로젝트를 효율적으로 분배했더니 다들 만족하더라. 이런 체계가 진짜 중요해.,프로젝트를 효율적으로 분배했더니 다들 만족하더라. 이런 체계가 진짜 [MASK].,
ENTJ,목표를 명확히 잡고 실행했어. 이런 방식이 시간을 절약해줘.,목표를 명확히 잡고 실행했어. 이런 방식이 시간을 [MASK]줘.,
ENTJ,결과를 빠르게 리뷰하고 수정점을 찾았어. 이런 접근이 성공을 더 앞당겨.,결과를 빠르게 리뷰하고 수정점을 찾았어. 이런 접근이 성공을 더 [MASK]겨.,
ENTP,친구랑 가벼운 주제로 토론을 시작했어. 이런 대화가 정말 흥미롭더라.,친구랑 가벼운 주제로 토론을 시작했어. 이런 대화가 정말 [MASK]더라.,
ENTP,즉석에서 새로운 아이디어를 제안했어. 이런 창의성이 항상 재미를 줘.,즉석에서 새로운 아이디어를 제안했어. 이런 창의성이 항상 [MASK]를 줘.,
ENTP,독특한 관점을 공유했더니 모두 흥미로워하더라. 이런 순간이 대화를 더 깊게 만들어.,독특한 관점을 공유했더니 모두 흥미로워하더라. 이런 순간이 대화를 더 [MASK]게 만들어.,
ENTP,즉흥적으로 만든 농담이 친구들을 웃게 했어. 이런 유머가 분위기를 밝게 만들어.,즉흥적으로 만든 농담이 친구들을 웃게 했어. 이런 유머가 분위기를 [MASK]게 만들어.,
ENFJ,사람들 간의 분위기가 어색하면 먼저 말을 걸어봐. 다 같이 웃고 얘기하면 좋아지더라고.,사람들 간의 분위기가 어색하면 먼저 말을 걸어봐. 다 같이 웃고 [MASK]하면 좋아지더라고.,
ENFJ,팀원들이 서로 힘들어 보이면 격려하려고 노력해. 작은 응원이 진짜 큰 힘이 되더라.,팀원들이 서로 힘들어 보이면 격려하려고 노력해. 작은 [MASK]이 진짜 큰 힘이 되더라.,
ENFJ,새로운 사람들을 만나는 게 즐거워. 그들과 이야기하며 서로 이해하는 순간이 좋아.,새로운 사람들을 만나는 게 즐거워. 그들과 이야기하며 서로 [MASK]하는 순간이 좋아.,
ENFJ,사람들이 서로 더 친해질 수 있도록 분위기를 만들려고 해. 그런 걸 보면 뿌듯하더라.,사람들이 서로 더 친해질 수 있도록 분위기를 만들려고 해. 그런 걸 보면 [MASK]하더라.,
ENFP,즉흥적으로 떠난 산책이 정말 좋았어. 예상하지 못한 풍경을 보는 게 재밌더라.,즉흥적으로 떠난 산책이 정말 좋았어. 예상하지 못한 [MASK]을 보는 게 재밌더라.,
ENFP,새로운 도전을 시작할 때가 제일 설레. 그런 기회가 나를 더 성장하게 만들어.,새로운 도전을 시작할 때가 제일 설레. 그런 기회가 나를 더 [MASK]하게 만들어.,
ENFP,사람들과 다양한 이야기를 나누는 게 즐거워. 서로 다른 관점을 이해하는 게 흥미롭거든.,사람들과 다양한 이야기를 나누는 게 즐거워. 서로 다른 관점을 [MASK]하는 게 흥미롭거든.,
ENFP,다양한 경험을 쌓는 게 나한테는 꼭 필요해. 그 과정에서 내가 배우는 게 많거든.,다양한 경험을 쌓는 게 나한테는 꼭 필요해. 그 과정에서 내가 [MASK]는 게 많거든.,
ENTJ,목표를 이루기 위해 구체적인 계획을 세워. 그런 과정이 나한테 동기를 줘.,목표를 이루기 위해 구체적인 계획을 세워. 그런 과정이 나한테 [MASK]를 줘.,
ENTJ,팀원들이 서로 잘 협력하는 모습을 보면 정말 뿌듯해. 그런 분위기가 결과를 바꿔주거든.,팀원들이 서로 잘 협력하는 모습을 보면 정말 뿌듯해. 그런 분위기가 결과를 [MASK]주거든.,
ENTJ,어려운 문제를 해결할 방법을 찾으려고 항상 고민해. 그런 순간이 결국 성장을 만들어.,어려운 문제를 해결할 방법을 찾으려고 항상 고민해. 그런 순간이 결국 [MASK]을 만들어.,
ENTJ,효율적인 방식을 찾는 게 나한테는 필수야. 시간 낭비를 줄이는 게 중요하니까.,효율적인 방식을 찾는 게 나한테는 필수야. 시간 낭비를 [MASK]는 게 중요하니까.,
ENTP,사람들과 논의하다 보면 참신한 아이디어가 떠오를 때가 많아. 그런 순간이 제일 재밌어.,사람들과 논의하다 보면 참신한 아이디어가 떠오를 때가 많아. 그런 순간이 제일 [MASK]어.,
ENTP,즉석에서 나온 질문이 대화를 완전히 바꿔놓을 때가 있어. 그럴 때 기분이 정말 좋더라.,즉석에서 나온 질문이 대화를 완전히 바꿔놓을 때가 있어. 그럴 때 기분이 정말 [MASK]더라.,
ENTP,새로운 방식으로 문제를 다뤄보는 걸 좋아해. 그런 시도가 더 나은 답을 줄 때가 많거든.,새로운 방식으로 문제를 다뤄보는 걸 좋아해. 그런 시도가 더 나은 [MASK]을 줄 때가 많거든.,
ENTP,다양한 아이디어를 섞어서 새로운 걸 만들어내는 게 즐거워. 그런 과정이 내 강점 같아.,다양한 아이디어를 섞어서 새로운 걸 만들어내는 게 즐거워. 그런 과정이 내 [MASK] 같아.,
ENFJ,친구랑 서로 응원하며 운동했어. 이런 팀워크가 더 큰 동기를 만들어.,친구랑 서로 응원하며 운동했어. 이런 팀워크가 더 큰 [MASK]를 만들어.,
ENFJ,후배가 고민을 털어놨는데 진지하게 들어줬어. 이런 소통이 관계를 더 단단하게 해.,후배가 고민을 털어놨는데 진지하게 들어줬어. 이런 소통이 관계를 더 [MASK]게 해.,
ENFJ,다 같이 요리하면서 대화를 나눴어. 이런 시간들이 좋은 추억을 만들어.,다 같이 요리하면서 대화를 나눴어. 이런 시간들이 좋은 [MASK]를 만들어.,
ENFJ,행사 끝나고 팀원들에게 고맙다고 인사했어. 이런 배려가 분위기를 좋게 만들어.,행사 끝나고 팀원들에게 고맙다고 인사했어. 이런 배려가 분위기를 좋게 [MASK].,
ENFP,갑자기 자전거 타고 강변을 달렸어. 이런 자유로운 시간이 정말 행복해.,갑자기 자전거 타고 강변을 달렸어. 이런 자유로운 시간이 정말 [MASK].,
ENFP,즉석에서 친구랑 보드게임을 했어. 이런 즉흥적인 활동이 진짜 재밌더라.,즉석에서 친구랑 보드게임을 했어. 이런 즉흥적인 활동이 진짜 [MASK]더라.,
ENFP,길에서 예쁜 풍경을 발견해서 사진을 찍었어. 이런 작은 발견들이 나를 설레게 해.,길에서 예쁜 풍경을 발견해서 사진을 찍었어. 이런 작은 발견들이 나를 [MASK]게 해.,
ENFP,새로운 악기를 배우기 시작했어. 이런 도전이 진짜 재미있어.,새로운 악기를 배우기 시작했어. 이런 도전이 진짜 [MASK].,
ENTJ,팀 목표를 분명히 정하고 역할을 나눴어. 이런 효율적인 진행이 정말 필요해.,팀 목표를 분명히 정하고 역할을 나눴어. 이런 효율적인 진행이 정말 [MASK].,
ENTJ,프로젝트 방향을 빠르게 결정했어. 이런 리더십이 팀을 더 단단하게 만들어.,프로젝트 방향을 빠르게 결정했어. 이런 리더십이 팀을 더 [MASK]게 만들어.,
ENTJ,문제를 정확히 파악하고 해결책을 제시했어. 이런 접근이 시간을 아껴줘.,문제를 정확히 파악하고 해결책을 제시했어. 이런 접근이 시간을 [MASK]줘.,
ENTJ,미팅에서 목표 달성을 위한 전략을 제안했어. 이런 준비가 성공을 만들어줘.,미팅에서 목표 달성을 위한 전략을 제안했어. 이런 준비가 성공을 [MASK]줘.,
ENTP,친구랑 별거 아닌 주제로 토론하다가 재밌었어. 이런 대화가 늘 활기를 줘.,친구랑 별거 아닌 주제로 토론하다가 재밌었어. 이런 대화가 늘 [MASK]를 줘.,
ENTP,새로운 사업 아이디어를 얘기하며 즐거워했어. 이런 창의력이 항상 흥미로워.,새로운 사업 아이디어를 얘기하며 즐거워했어. 이런 창의력이 항상 [MASK]워.,
ENTP,즉흥적으로 친구들과 게임 규칙을 만들었어. 이런 창의적인 순간이 재밌어.,즉흥적으로 친구들과 게임 규칙을 만들었어. 이런 창의적인 순간이 [MASK]어.,
ENTP,생각지도 못한 농담으로 다들 웃겼어. 이런 유머가 분위기를 바꿔줘.,생각지도 못한 농담으로 다들 웃겼어. 이런 유머가 분위기를 [MASK]줘.,
ENFJ,새로운 팀을 맡을 때마다 기대가 돼. 모두가 협력할 때 보람을 느끼거든.,새로운 팀을 맡을 때마다 기대가 돼. 모두가 [MASK]할 때 보람을 느끼거든.,
ENFJ,친구가 힘들어하면 먼저 다가가서 이야기를 들어줘. 그게 진짜 우정이라고 생각해.,친구가 힘들어하면 먼저 다가가서 이야기를 들어줘. 그게 진짜 [MASK]이라고 생각해.,
ENFJ,사람들에게 조언을 줄 때 진심으로 임해. 그렇게 하면 더 깊은 유대가 생기니까.,사람들에게 조언을 줄 때 진심으로 임해. 그렇게 하면 더 깊은 [MASK]가 생기니까.,
ENFJ,내가 사람들을 이끄는 역할을 맡을 때가 많아. 그 순간이 내 에너지를 채워줘.,내가 사람들을 이끄는 역할을 맡을 때가 많아. 그 순간이 내 [MASK]를 채워줘.,
ENFJ,새로운 만남에서 관계를 발전시키는 게 흥미로워. 서로의 이야기를 들으면 가까워지거든.,새로운 만남에서 관계를 발전시키는 게 흥미로워. 서로의 [MASK]를 들으면 가까워지거든.,
ENFJ,사람들을 격려하고 용기를 주는 말을 하는 게 중요하다고 생각해. 그게 나의 역할 같아.,사람들을 격려하고 용기를 주는 말을 하는 게 중요하다고 생각해. 그게 나의 [MASK] 같아.,
ENFJ,내가 하는 일이 다른 사람들에게 긍정적인 영향을 주길 원해. 그게 나를 움직이게 해.,내가 하는 일이 다른 사람들에게 긍정적인 영향을 주길 원해. 그게 나를 [MASK]게 해.,
ENFJ,모임에서 모두가 즐거워하는 모습을 보는 게 행복해. 그 순간이 나에게 큰 의미야.,모임에서 모두가 즐거워하는 모습을 보는 게 행복해. 그 순간이 나에게 큰 [MASK]야.,
ENFP,내 생각을 공유하고 나와 비슷한 사람을 만나는 게 좋아. 대화가 깊어질수록 더 즐거워.,내 생각을 공유하고 나와 비슷한 사람을 만나는 게 좋아. 대화가 [MASK]질수록 더 즐거워.,
ENFP,즉흥적으로 떠나는 여행이 최고야. 계획 없는 자유가 주는 설렘이 있어.,즉흥적으로 떠나는 여행이 최고야. 계획 없는 [MASK]가 주는 설렘이 있어.,
ENFP,새로운 기술을 배우는 건 항상 신선해. 그 과정에서 나를 발견하거든.,새로운 기술을 배우는 건 항상 신선해. 그 과정에서 나를 [MASK]하거든.,
ENFP,다양한 경험을 쌓으려고 늘 새로운 것을 찾아. 호기심이 나의 원동력이야.,다양한 경험을 쌓으려고 늘 새로운 것을 찾아. 호기심이 나의 [MASK]야.,
ENFP,사람들과 아이디어를 교환하며 배우는 게 좋아. 창의적인 대화는 언제나 환영이야.,사람들과 아이디어를 교환하며 배우는 게 좋아. 창의적인 [MASK]는 언제나 환영이야.,
ENFP,항상 현재를 즐기고 싶어. 지금 이 순간에 충실하면 더 행복하잖아.,항상 현재를 즐기고 싶어. 지금 이 순간에 [MASK]하면 더 행복하잖아.,
ENFP,창의력을 발휘할 기회가 생기면 정말 설레. 그런 기회는 내게 에너지를 줘.,창의력을 발휘할 기회가 생기면 정말 설레. 그런 [MASK]는 내게 에너지를 줘.,
ENFP,새로운 프로젝트에 참여하면 항상 배우는 게 많아. 그 도전이 나를 성장시켜.,새로운 프로젝트에 참여하면 항상 배우는 게 많아. 그 도전이 나를 [MASK]시켜.,
ENTJ,리더십을 발휘할 기회가 있을 때마다 신이 나. 내가 할 수 있는 최선을 다해.,리더십을 발휘할 기회가 있을 때마다 신이 나. 내가 할 수 있는 [MASK]를 다해.,
ENTJ,문제를 빠르게 분석하고 해결책을 찾는 게 즐거워. 효율적으로 일하는 게 중요하잖아.,문제를 빠르게 분석하고 해결책을 찾는 게 즐거워. [MASK]적으로 일하는 게 중요하잖아.,
ENTJ,팀의 목표를 달성하기 위해 필요한 것을 계획해. 모든 과정이 전략적이어야 하니까.,팀의 목표를 달성하기 위해 필요한 것을 계획해. 모든 과정이 [MASK]이어야 하니까.,
ENTJ,성공을 위해 끊임없이 노력하는 것이 내 철학이야. 끝까지 포기하지 않는 게 중요해.,성공을 위해 끊임없이 노력하는 것이 내 철학이야. 끝까지 [MASK]하지 않는 게 중요해.,
ENFJ,친구가 힘들어 보이면 밥이라도 같이 먹으면서 얘기 들어줘. 그게 내 방식이야.,친구가 힘들어 보이면 밥이라도 같이 먹으면서 얘기 들어줘. 그게 내 [MASK]이야.,
ENFJ,새로운 모임에 가면 먼저 인사하고 분위기를 풀려고 해. 다들 편하게 얘기하면 좋잖아.,새로운 모임에 가면 먼저 인사하고 분위기를 풀려고 해. 다들 [MASK]게 얘기하면 좋잖아.,
ENFJ,사람들에게 긍정적인 이야기를 해주는 걸 좋아해. 그런 말이 진짜 힘이 되더라고.,사람들에게 긍정적인 이야기를 해주는 걸 좋아해. 그런 말이 진짜 [MASK]이 되더라고.,
ENFJ,팀에서 모두가 잘 지내는 모습을 보면 뿌듯해. 내가 조금이라도 도움 됐길 바라.,팀에서 모두가 잘 지내는 모습을 보면 뿌듯해. 내가 조금이라도 [MASK] 됐길 바라.,
ENFP,주말에 갑자기 떠난 드라이브가 너무 재밌었어. 계획 없이 떠나는 게 더 좋아.,주말에 갑자기 떠난 드라이브가 너무 재밌었어. 계획 없이 [MASK]는 게 더 좋아.,
ENFP,새로운 사람을 만날 때마다 배울 게 많아. 그런 만남이 내게 영감을 줘.,새로운 사람을 만날 때마다 배울 게 많아. 그런 [MASK]이 내게 영감을 줘.,
ENFP,즉흥적으로 뭔가를 시작하면 예상치 못한 결과가 나와. 그게 내 인생의 재미야.,즉흥적으로 뭔가를 시작하면 예상치 못한 결과가 나와. 그게 내 [MASK]의 재미야.,
ENFP,다양한 생각을 나누는 게 너무 즐거워. 대화가 깊어질수록 흥미롭더라.,다양한 생각을 나누는 게 너무 즐거워. 대화가 [MASK]질수록 흥미롭더라.,
ENTJ,프로젝트를 시작하면 목표를 확실히 세워야 마음이 편해. 그래야 길을 잃지 않으니까.,프로젝트를 시작하면 목표를 확실히 세워야 마음이 편해. 그래야 길을 [MASK]지 않으니까.,
ENTJ,효율적으로 일하는 방법을 찾는 게 중요해. 시간을 낭비하는 건 정말 싫거든.,효율적으로 일하는 방법을 찾는 게 중요해. 시간을 [MASK]하는 건 정말 싫거든.,
ENTJ,리더 역할을 맡았을 때 팀원들이 잘 따라줄 때가 좋아. 그게 성과로 이어지니까.,리더 역할을 맡았을 때 팀원들이 잘 따라줄 때가 좋아. 그게 [MASK]로 이어지니까.,
ENTJ,문제가 생기면 바로 해결책부터 찾아야 속이 편해. 멈춰 있는 건 답답하거든.,문제가 생기면 바로 해결책부터 찾아야 속이 편해. 멈춰 있는 건 [MASK]하거든.,
ENTP,토론하면서 새로운 아이디어를 발견할 때가 재밌어. 그런 순간에 창의력이 빛나지.,토론하면서 새로운 아이디어를 발견할 때가 재밌어. 그런 순간에 창의력이 [MASK]지.,
